BUSINESS DATE,VOLUME
6/14/2017,3087.596912
6/15/2017,2838.45993
6/16/2017,2782.013722
6/19/2017,1566.803843
6/20/2017,1970.565274
6/21/2017,2203.988952
6/22/2017,1470.275097
6/23/2017,1504.113663
6/26/2017,2063.176229
6/27/2017,3943.91821
6/28/2017,2397.84856
6/29/2017,2616.714334
6/30/2017,11375.63891
7/3/2017,5080.343752
7/4/2017,4325.792203
7/5/2017,1338.82634
7/6/2017,2015.731954
7/7/2017,1410.100458
7/10/2017,1119.110586
7/11/2017,1057.02753
7/12/2017,1497.622724
7/13/2017,14372.55376
7/14/2017,3015.020226
7/17/2017,1352.176792
7/18/2017,2006.563324
7/19/2017,2787.781302
7/20/2017,1849.557139
7/21/2017,1742.585401
7/24/2017,1062.543095
7/25/2017,1281.818303
7/26/2017,1202.321161
7/27/2017,1141.104059
7/28/2017,5281.644
7/31/2017,427.6932226
8/1/2017,1804.409219
8/2/2017,4072.15908
8/3/2017,2055.540188
8/4/2017,11916.73636
8/7/2017,8122.106333
8/8/2017,16770.69462
8/9/2017,2018.120386
8/10/2017,1879.998338
8/11/2017,1842.192138
8/14/2017,5604.828799
8/15/2017,6796.558367
8/16/2017,1302.343216
8/17/2017,1319.426233
8/18/2017,1776.652635
8/21/2017,1156.910969
8/22/2017,3189.033188
8/23/2017,1231.646749
8/24/2017,1020.877898
8/25/2017,1018.225053
8/28/2017,608.9487801
8/29/2017,1802.954224
8/30/2017,1155.800571
8/31/2017,3900.381841
9/1/2017,2880.164857
9/4/2017,1335.577769
9/5/2017,5621.257539
9/6/2017,1799.58669
9/7/2017,4294.753371
9/8/2017,3290.067176
9/11/2017,3416.131434
9/12/2017,33431.09546
9/13/2017,2394.214329
9/14/2017,2146.689865
9/15/2017,2527.551606
9/18/2017,1354.612232
9/19/2017,1331.73355
9/20/2017,1404.751197
9/21/2017,1408.019067
9/22/2017,7547.383861
9/25/2017,1302.684467
9/26/2017,4583.443834
9/27/2017,1616.340602
9/28/2017,1289.808956
9/29/2017,1214.27405
10/2/2017,1355.68774
10/3/2017,1186.674594
10/4/2017,1504.455246
10/5/2017,1606.493244
10/6/2017,1370.253678
10/9/2017,4852.378476
10/10/2017,7315.335272
10/11/2017,1367.756816
10/12/2017,4681.424955
10/13/2017,1775.124437
10/16/2017,1471.060677
10/17/2017,1653.44224
10/18/2017,5916.217452
10/19/2017,1837.05061
10/20/2017,4675.798068
10/23/2017,1175.937044
10/24/2017,1220.366658
10/25/2017,5232.204259
10/26/2017,2280.02878
10/27/2017,4006.738666
10/30/2017,3834.864236
10/31/2017,1063.067067
11/1/2017,1943.157267
11/2/2017,2313.809769
11/3/2017,1683.037673
11/6/2017,2112.355593
11/7/2017,1370.900525
11/8/2017,8096.557567
11/9/2017,2021.335521
11/10/2017,1653.779063
11/13/2017,1423.290098
11/14/2017,1666.076737
11/15/2017,5063.802331
11/16/2017,4798.038474
11/17/2017,1547.836831
11/20/2017,1306.179023
11/21/2017,3443.599292
11/22/2017,3558.228066
11/23/2017,895.7121909
11/24/2017,1138.995143
11/27/2017,2783.365777
11/28/2017,3964.3908
11/29/2017,5483.059039
11/30/2017,13997.46301
12/1/2017,3874.216888
12/4/2017,4044.284287
12/5/2017,4183.246863
12/6/2017,1810.883753
12/7/2017,2506.166628
