Date,USD
4/10/2019,1.1279
4/9/2019,1.1277
4/8/2019,1.1246
4/5/2019,1.1233
4/4/2019,1.1219
4/3/2019,1.1243
4/2/2019,1.12
4/1/2019,1.1236
3/29/2019,1.1235
3/28/2019,1.1218
3/27/2019,1.1261
3/26/2019,1.1291
3/25/2019,1.1325
3/22/2019,1.1302
3/21/2019,1.1387
3/20/2019,1.1354
3/19/2019,1.1358
3/18/2019,1.1349
3/15/2019,1.1308
3/14/2019,1.1295
3/13/2019,1.1303
3/12/2019,1.1275
3/11/2019,1.1244
3/8/2019,1.1222
3/7/2019,1.1271
3/6/2019,1.1305
3/5/2019,1.1329
3/4/2019,1.1337
3/1/2019,1.1383
2/28/2019,1.1416
2/27/2019,1.1386
2/26/2019,1.1361
2/25/2019,1.1355
2/22/2019,1.1325
2/21/2019,1.1354
2/20/2019,1.1342
2/19/2019,1.1294
2/18/2019,1.1328
2/15/2019,1.126
2/14/2019,1.1268
2/13/2019,1.1305
2/12/2019,1.1296
2/11/2019,1.1309
2/8/2019,1.1346
2/7/2019,1.1345
2/6/2019,1.1394
2/5/2019,1.1423
2/4/2019,1.1445
2/1/2019,1.1471
1/31/2019,1.1488
1/30/2019,1.1429
1/29/2019,1.1422
1/28/2019,1.1418
1/25/2019,1.1346
1/24/2019,1.1341
1/23/2019,1.1367
1/22/2019,1.1354
1/21/2019,1.1362
1/18/2019,1.1402
1/17/2019,1.1396
1/16/2019,1.1389
1/15/2019,1.1424
1/14/2019,1.1467
1/11/2019,1.1533
1/10/2019,1.1535
1/9/2019,1.1455
1/8/2019,1.144
1/7/2019,1.1445
1/4/2019,1.1403
1/3/2019,1.1348
1/2/2019,1.1397
12/31/2018,1.145
12/28/2018,1.1454
12/27/2018,1.1377
12/24/2018,1.1408
12/21/2018,1.1414
12/20/2018,1.1451
12/19/2018,1.1405
12/18/2018,1.1377
12/17/2018,1.1341
12/14/2018,1.1285
12/13/2018,1.1371
12/12/2018,1.1346
12/11/2018,1.1379
12/10/2018,1.1425
12/7/2018,1.1371
12/6/2018,1.1351
12/5/2018,1.1354
12/4/2018,1.1409
12/3/2018,1.1332
11/30/2018,1.1359
11/29/2018,1.1387
11/28/2018,1.1284
11/27/2018,1.1328
11/26/2018,1.1363
11/23/2018,1.1352
11/22/2018,1.1403
11/21/2018,1.1409
11/20/2018,1.1421
11/19/2018,1.1427
11/16/2018,1.1346
11/15/2018,1.1305
11/14/2018,1.1296
11/13/2018,1.1261
11/12/2018,1.1265
11/9/2018,1.1346
11/8/2018,1.1424
11/7/2018,1.1487
11/6/2018,1.1428
11/5/2018,1.137
11/2/2018,1.1417
11/1/2018,1.1393
10/31/2018,1.1318
10/30/2018,1.1372
10/29/2018,1.1381
10/26/2018,1.1345
10/25/2018,1.1416
10/24/2018,1.1389
10/23/2018,1.1478
10/22/2018,1.1494
10/19/2018,1.147
10/18/2018,1.1505
10/17/2018,1.153
10/16/2018,1.1587
10/15/2018,1.1581
10/12/2018,1.1574
10/11/2018,1.1575
10/10/2018,1.15
10/9/2018,1.1435
10/8/2018,1.1478
10/5/2018,1.1506
10/4/2018,1.1502
10/3/2018,1.1548
10/2/2018,1.1543
10/1/2018,1.1606
9/28/2018,1.1576
9/27/2018,1.1707
9/26/2018,1.1737
9/25/2018,1.1777
9/24/2018,1.1773
9/21/2018,1.1759
9/20/2018,1.1769
9/19/2018,1.1667
9/18/2018,1.1697
9/17/2018,1.1671
9/14/2018,1.1689
9/13/2018,1.162
9/12/2018,1.1585
9/11/2018,1.1574
9/10/2018,1.1571
9/7/2018,1.1615
9/6/2018,1.1634
9/5/2018,1.1582
9/4/2018,1.1562
9/3/2018,1.1609
8/31/2018,1.1651
8/30/2018,1.1692
8/29/2018,1.166
8/28/2018,1.171
8/27/2018,1.1633
8/24/2018,1.1588
8/23/2018,1.1579
8/22/2018,1.1616
8/21/2018,1.1502
8/20/2018,1.142
8/17/2018,1.1391
8/16/2018,1.137
8/15/2018,1.1321
8/14/2018,1.1406
8/13/2018,1.1403
8/10/2018,1.1456
8/9/2018,1.1593
8/8/2018,1.1589
8/7/2018,1.1602
8/6/2018,1.1543
8/3/2018,1.1588
8/2/2018,1.1617
8/1/2018,1.1696
7/31/2018,1.1736
7/30/2018,1.1684
7/27/2018,1.1625
7/26/2018,1.1716
7/25/2018,1.169
7/24/2018,1.1706
7/23/2018,1.1716
7/20/2018,1.167
7/19/2018,1.1588
7/18/2018,1.1611
7/17/2018,1.1707
7/16/2018,1.172
7/13/2018,1.1643
7/12/2018,1.1658
7/11/2018,1.1735
7/10/2018,1.1713
7/9/2018,1.1789
7/6/2018,1.1724
7/5/2018,1.1709
7/4/2018,1.1642
7/3/2018,1.1665
7/2/2018,1.1639
6/29/2018,1.1658
6/28/2018,1.1583
6/27/2018,1.1616
6/26/2018,1.1672
6/25/2018,1.17
6/22/2018,1.1648
6/21/2018,1.1538
6/20/2018,1.1578
6/19/2018,1.1534
6/18/2018,1.1613
6/15/2018,1.1596
6/14/2018,1.173
6/13/2018,1.1764
6/12/2018,1.1788
6/11/2018,1.179
6/8/2018,1.1754
6/7/2018,1.1836
6/6/2018,1.1765
6/5/2018,1.1675
6/4/2018,1.1737
6/1/2018,1.1669
5/31/2018,1.1699
5/30/2018,1.1632
5/29/2018,1.1558
5/28/2018,1.1644
5/25/2018,1.1675
5/24/2018,1.1728
5/23/2018,1.1708
5/22/2018,1.1794
5/21/2018,1.1759
5/18/2018,1.1781
5/17/2018,1.1805
5/16/2018,1.1784
